,Question,Actual Answer,Student Answer,Accuracy
0,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,You could tell if it has the hardest if most of it came off.,0.0
1,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,If just the penny could scratch and the nickel could not the penny is harder.,4.95
2,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,Whichever one was damaged most was less hard.,4.95
3,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,Rub them against a crystal.,0.0
4,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,Which had less scratches.,4.95
5,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,If it makes a scratch or a little dent.,0.0
6,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,Well she can take the penny and the nickel and rub them together.,0.0
7,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,The one that is scratched is softer.,4.95
8,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,She could tell which is harder by getting a rock and seeing if the penny or nickel would scratch it. Whichever one does is harder.,0.0
9,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,Maybe he should scratch even other then when you are done see if one have scratches.,0.0
10,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,It would tell her because she could scratch the penny on the nickel and the nickel on the penny and see which one is scratched.,0.0
11,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,"In order to tell which is harder, else would have to see if the penny and nickel leave a mark to see which is harder.",4.95
12,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,By the one that leave a mark on one. That means that that one is harder.,4.95
13,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,The one that got scratch each penny or a nickel got scratch.,0.0
14,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,She can scratch it and see which one scratch the rock or mineral.,0.0
15,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,If the penny gets scratched the nickel is harder and if the nickel gets scratched then the penny is harder.,4.95
16,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,The nickel is the hardest because is you scratch it with a penny it will not scratch but the nickel could because it is so much.,4.95
17,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,You get a penny or a nickel if one of them scratches the metal it is hard.,4.95
