Questions,Answers,Grades,Concatenated_QA,Sentence_Length,Padded_Sentence,Sentence_Length_After_Padding
Name 2 approaches used for solving multi-class classification problem with SVM. ,"Stochastic Gradient Descent, gradient",0.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -Stochastic Gradient Descent, gradient",14,"Name 2 approaches used for solving multi-class classification problem with SVM. -Stochastic Gradient Descent, gradient Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"linear approach, sqwigy approach,polynomial function, kernel function, sigmoid function",0.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -linear approach, sqwigy approach,polynomial function, kernel function, sigmoid function",19,"Name 2 approaches used for solving multi-class classification problem with SVM. -linear approach, sqwigy approach,polynomial function, kernel function, sigmoid function Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,1.  Gradient Descent 2. Tabu method,0.0,Name 2 approaches used for solving multi-class classification problem with SVM. -1.  Gradient Descent 2. Tabu method,17,Name 2 approaches used for solving multi-class classification problem with SVM. -1.  Gradient Descent 2. Tabu method Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Name 2 approaches used for solving multi-class classification problem with SVM. ,the two approaches are 1. One versus One approach 2. One versus remaining approach,10.0,Name 2 approaches used for solving multi-class classification problem with SVM. -the two approaches are 1. One versus One approach 2. One versus remaining approach,24,Name 2 approaches used for solving multi-class classification problem with SVM. -the two approaches are 1. One versus One approach 2. One versus remaining approach Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"One to One approach(n(n-1)/2), one to all approach(n)",10.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -One to One approach(n(n-1)/2), one to all approach(n)",18,"Name 2 approaches used for solving multi-class classification problem with SVM. -One to One approach(n(n-1)/2), one to all approach(n) Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"one against another, one against all",10.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -one against another, one against all",16,"Name 2 approaches used for solving multi-class classification problem with SVM. -one against another, one against all Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"One class with another class (no. of models=n(n-1)/2), one against all classes (no. of models=n) [n=no.of classes]",10.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -One class with another class (no. of models=n(n-1)/2), one against all classes (no. of models=n) [n=no.of classes]",27,"Name 2 approaches used for solving multi-class classification problem with SVM. -One class with another class (no. of models=n(n-1)/2), one against all classes (no. of models=n) [n=no.of classes] Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,1 vs 1 and 1 vs 2,5.0,Name 2 approaches used for solving multi-class classification problem with SVM. -1 vs 1 and 1 vs 2,17,Name 2 approaches used for solving multi-class classification problem with SVM. -1 vs 1 and 1 vs 2 Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Name 2 approaches used for solving multi-class classification problem with SVM. ,One vs One and one vs all,10.0,Name 2 approaches used for solving multi-class classification problem with SVM. -One vs One and one vs all,17,Name 2 approaches used for solving multi-class classification problem with SVM. -One vs One and one vs all Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"gradient decent is one of the approach , back propogation",0.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -gradient decent is one of the approach , back propogation",20,"Name 2 approaches used for solving multi-class classification problem with SVM. -gradient decent is one of the approach , back propogation Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
